text,label
Policy Number: N/A. Insurance Company: LIC. Claimed Amount: ₹183617. Details: Earn 200% return on maturity.,1
Policy Number: POL420256. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹23113. Details: Claim approved post verification.,0
Policy Number: LIC209702. Insurance Company: TATA AIA. Claimed Amount: ₹35949. Details: Policy backed by IRDA guidelines.,0
Policy Number: N/A. Insurance Company: Aditya Birla. Claimed Amount: ₹105714. Details: Claim processed without hospital bill.,1
Policy Number: LIC998765. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹31654. Details: Premium paid annually. Policy covers health issues.,0
Policy Number: HDF742312. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹32020. Details: Claim approved post verification.,0
Policy Number: LIC593055. Insurance Company: LIC. Claimed Amount: ₹165014. Details: Nominee and policyholder verified.,0
Policy Number: TAT165708. Insurance Company: Aditya Birla. Claimed Amount: ₹191034. Details: Maturity date set at 25 years.,0
Policy Number: N/A. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹67068. Details: Earn 200% return on maturity.,1
Policy Number: N/A. Insurance Company: LIC. Claimed Amount: ₹198722. Details: No waiting period. Instant cashbacks.,1
Policy Number: TAT934250. Insurance Company: HDFC Life. Claimed Amount: ₹139707. Details: Nominee and policyholder verified.,0
Policy Number: LIC514245. Insurance Company: Bajaj Allianz. Claimed Amount: ₹171743. Details: Policy number and terms clearly mentioned.,0
Policy Number: HDF304601. Insurance Company: FastClaim Corp. Claimed Amount: ₹157223. Details: Earn 200% return on maturity.,1
Policy Number: POL756334. Insurance Company: Max Life. Claimed Amount: ₹111715. Details: Nominee and policyholder verified.,0
Policy Number: TAT323414. Insurance Company: Future Generali. Claimed Amount: ₹67188. Details: Policy number and terms clearly mentioned.,0
Policy Number: POL767245. Insurance Company: HDFC Life. Claimed Amount: ₹138618. Details: Policy issued after medical examination.,0
Policy Number: TAT658109. Insurance Company: LIC. Claimed Amount: ₹127386. Details: Maturity date set at 25 years.,0
"Policy Number: N/A. Insurance Company: SBI Life. Claimed Amount: ₹83012. Details: Only pay premium once, enjoy lifetime coverage.",1
Policy Number: HDF538540. Insurance Company: TATA AIA. Claimed Amount: ₹42997. Details: Earn 200% return on maturity.,1
Policy Number: POL109171. Insurance Company: Future Generali. Claimed Amount: ₹71527. Details: Premium paid annually. Policy covers health issues.,0
Policy Number: TAT212525. Insurance Company: LIC. Claimed Amount: ₹36914. Details: Premium paid annually. Policy covers health issues.,0
Policy Number: LIC798135. Insurance Company: ICICI Prudential. Claimed Amount: ₹68217. Details: Policy number and terms clearly mentioned.,0
Policy Number: HDF763623. Insurance Company: ICICI Prudential. Claimed Amount: ₹192150. Details: Claim approved post verification.,0
Policy Number: HDF889691. Insurance Company: FastClaim Corp. Claimed Amount: ₹163761. Details: Policy issued after medical examination.,0
Policy Number: TAT627439. Insurance Company: Max Life. Claimed Amount: ₹112828. Details: Maturity date set at 25 years.,0
Policy Number: POL885261. Insurance Company: ICICI Prudential. Claimed Amount: ₹140043. Details: Claim submitted with complete hospital bills.,0
Policy Number: POL307554. Insurance Company: SecureFuture Inc. Claimed Amount: ₹152622. Details: All documents verified by insurance agent.,0
Policy Number: POL829035. Insurance Company: LIC. Claimed Amount: ₹114585. Details: Claim submitted with complete hospital bills.,0
Policy Number: TAT542871. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹81920. Details: Claim submitted with complete hospital bills.,0
Policy Number: POL908813. Insurance Company: Aditya Birla. Claimed Amount: ₹21837. Details: Premium paid annually. Policy covers health issues.,0
Policy Number: TAT539238. Insurance Company: TATA AIA. Claimed Amount: ₹126591. Details: Premium paid annually. Policy covers health issues.,0
"Policy Number: N/A. Insurance Company: ICICI Prudential. Claimed Amount: ₹51993. Details: Only pay premium once, enjoy lifetime coverage.",1
Policy Number: POL837862. Insurance Company: Max Life. Claimed Amount: ₹126865. Details: Maturity date set at 25 years.,0
Policy Number: LIC382739. Insurance Company: Bajaj Allianz. Claimed Amount: ₹173880. Details: No medical test required. Guaranteed approval.,1
Policy Number: POL526549. Insurance Company: SecureFuture Inc. Claimed Amount: ₹168152. Details: Policy issued after medical examination.,0
Policy Number: TAT687809. Insurance Company: Aditya Birla. Claimed Amount: ₹75556. Details: All documents verified by insurance agent.,0
Policy Number: POL736965. Insurance Company: TATA AIA. Claimed Amount: ₹146573. Details: Policy backed by IRDA guidelines.,0
Policy Number: LIC427029. Insurance Company: Max Life. Claimed Amount: ₹31182. Details: Maturity date set at 25 years.,0
Policy Number: POL646743. Insurance Company: LIC. Claimed Amount: ₹196735. Details: Claim submitted with complete hospital bills.,0
Policy Number: HDF585841. Insurance Company: Bajaj Allianz. Claimed Amount: ₹171723. Details: Policy backed by IRDA guidelines.,0
Policy Number: HDF740753. Insurance Company: SBI Life. Claimed Amount: ₹50396. Details: No medical test required. Guaranteed approval.,1
Policy Number: LIC699737. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹98225. Details: Policy backed by IRDA guidelines.,0
Policy Number: POL556740. Insurance Company: SBI Life. Claimed Amount: ₹173296. Details: Policy backed by IRDA guidelines.,0
Policy Number: LIC278414. Insurance Company: ICICI Prudential. Claimed Amount: ₹142032. Details: No need for policy number or signature.,1
Policy Number: TAT861110. Insurance Company: SBI Life. Claimed Amount: ₹115987. Details: Maturity date set at 25 years.,0
Policy Number: N/A. Insurance Company: Bajaj Allianz. Claimed Amount: ₹23569. Details: No need for policy number or signature.,1
Policy Number: HDF303203. Insurance Company: ICICI Prudential. Claimed Amount: ₹66768. Details: No waiting period. Instant cashbacks.,1
Policy Number: HDF892254. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹71988. Details: Submit just Aadhaar card and get ₹1 lakh cover.,1
Policy Number: LIC977856. Insurance Company: SBI Life. Claimed Amount: ₹99476. Details: Valid PAN and Aadhaar provided.,0
Policy Number: N/A. Insurance Company: SBI Life. Claimed Amount: ₹176342. Details: No need for policy number or signature.,1
Policy Number: HDF256793. Insurance Company: Future Generali. Claimed Amount: ₹78031. Details: Premium paid annually. Policy covers health issues.,0
Policy Number: N/A. Insurance Company: Max Life. Claimed Amount: ₹83165. Details: Agent approval not needed.,1
Policy Number: TAT410820. Insurance Company: Aditya Birla. Claimed Amount: ₹158599. Details: Claim processed without hospital bill.,1
Policy Number: HDF445863. Insurance Company: Aditya Birla. Claimed Amount: ₹116926. Details: All documents verified by insurance agent.,0
Policy Number: HDF615461. Insurance Company: Aditya Birla. Claimed Amount: ₹162504. Details: Apply via WhatsApp. Instant claim.,1
Policy Number: TAT591782. Insurance Company: ICICI Prudential. Claimed Amount: ₹138993. Details: Claim processed without hospital bill.,1
Policy Number: N/A. Insurance Company: SecureFuture Inc. Claimed Amount: ₹33004. Details: Earn 200% return on maturity.,1
Policy Number: N/A. Insurance Company: SBI Life. Claimed Amount: ₹83593. Details: No need for policy number or signature.,1
Policy Number: POL376599. Insurance Company: GoldenPolicy Co. Claimed Amount: ₹124897. Details: All documents verified by insurance agent.,0
Policy Number: POL209634. Insurance Company: Future Generali. Claimed Amount: ₹157335. Details: Claim submitted with complete hospital bills.,0
Policy Number: TAT973051. Insurance Company: SecureFuture Inc. Claimed Amount: ₹102577. Details: Apply via WhatsApp. Instant claim.,1
Policy Number: HDF983980. Insurance Company: SecureFuture Inc. Claimed Amount: ₹108224. Details: Policy number and terms clearly mentioned.,0
Policy Number: POL948185. Insurance Company: Future Generali. Claimed Amount: ₹75054. Details: Policy backed by IRDA guidelines.,0
Policy Number: POL346839. Insurance Company: Bajaj Allianz. Claimed Amount: ₹74691. Details: Claim submitted with complete hospital bills.,0
Policy Number: LIC416823. Insurance Company: LIC. Claimed Amount: ₹130425. Details: Premium paid annually. Policy covers health issues.,0
Policy Number: TAT349379. Insurance Company: HDFC Life. Claimed Amount: ₹66563. Details: Policy number and terms clearly mentioned.,0
Policy Number: LIC123964. Insurance Company: LIC. Claimed Amount: ₹178271. Details: Maturity date set at 25 years.,0
Policy Number: POL122646. Insurance Company: TATA AIA. Claimed Amount: ₹73753. Details: Claim approved post verification.,0
Policy Number: HDF601683. Insurance Company: Aditya Birla. Claimed Amount: ₹149320. Details: Claim approved post verification.,0
Policy Number: TAT226187. Insurance Company: TATA AIA. Claimed Amount: ₹72427. Details: Nominee and policyholder verified.,0
Policy Number: LIC262739. Insurance Company: Max Life. Claimed Amount: ₹92179. Details: Policy number and terms clearly mentioned.,0
Policy Number: POL269370. Insurance Company: Aditya Birla. Claimed Amount: ₹121258. Details: All documents verified by insurance agent.,0
Policy Number: POL640496. Insurance Company: ICICI Prudential. Claimed Amount: ₹145589. Details: Premium paid annually. Policy covers health issues.,0
Policy Number: N/A. Insurance Company: TATA AIA. Claimed Amount: ₹182498. Details: No waiting period. Instant cashbacks.,1
"Policy Number: POL139425. Insurance Company: LIC. Claimed Amount: ₹47355. Details: Only pay premium once, enjoy lifetime coverage.",1
Policy Number: POL645105. Insurance Company: Bajaj Allianz. Claimed Amount: ₹29413. Details: Maturity date set at 25 years.,0
